fecha,categoria,evento,canal,impacto_esperado,intensidad,comentario,fuente,url,origen
2016-01-16,Geopolítica/Sanciones,Levantamiento parcial de sanciones a Irán tras implementación del acuerdo nuclear,oferta,Presión bajista por expectativa de mayor oferta iraní,3,Evento contextual de mercado petrolero internacional.,Base curada,,Base curada
2016-11-30,OPEP/Oferta,OPEP acuerda recorte de producción para estabilizar el mercado,oferta,Presión alcista por menor oferta esperada,4,Acuerdo relevante tras periodo de sobreoferta.,Base curada,,Base curada
2017-08-25,Clima/Refinación,Huracán Harvey afecta refinerías y logística energética en la costa del Golfo,refinación/logística,Presión alcista en productos refinados por interrupciones,4,Evento climático con impacto fuerte en refinación y combustibles.,Base curada,,Base curada
2018-05-08,Geopolítica/Sanciones,Estados Unidos anuncia salida del acuerdo nuclear con Irán,sanciones/oferta,Presión alcista por riesgo de menor oferta iraní,4,Incrementa percepción de riesgo geopolítico petrolero.,Base curada,,Base curada
2018-11-05,Geopolítica/Sanciones,Entrada en vigor de sanciones petroleras de Estados Unidos contra Irán,sanciones/oferta,Presión alcista aunque mitigada por exenciones y oferta alternativa,3,Evento asociado a incertidumbre de oferta.,Base curada,,Base curada
2019-09-14,Geopolítica/Ataques,Ataques a instalaciones Abqaiq y Khurais en Arabia Saudita,infraestructura/oferta,Presión alcista por interrupción temporal de capacidad petrolera,5,Shock geopolítico directo sobre infraestructura energética.,Base curada,,Base curada
2020-03-06,OPEP/Oferta,Ruptura temporal de negociaciones OPEP+ y guerra de precios Arabia Saudita-Rusia,oferta/precios,Presión bajista por expectativa de sobreoferta,5,Evento crítico en el colapso de precios de 2020.,Base curada,,Base curada
2020-03-11,Demanda/COVID-19,OMS declara pandemia de COVID-19,demanda,Presión bajista extrema por contracción de movilidad y demanda,5,Shock global de demanda energética.,Base curada,,Base curada
2020-04-12,OPEP/Oferta,OPEP+ acuerda recortes históricos de producción,oferta,Presión alcista/estabilizadora tras colapso de demanda,5,Medida de estabilización extraordinaria.,Base curada,,Base curada
2020-04-20,Mercado/WTI,Precio WTI cae a valores negativos en contratos cercanos,mercado/almacenamiento,Señal extrema de desbalance de mercado y almacenamiento,5,Evento excepcional de mercado petrolero.,Base curada,,Base curada
2021-02-15,Clima/Refinación,Tormenta invernal en Texas afecta producción y refinerías,refinación/oferta,Presión alcista temporal en productos y crudo,4,Interrupciones energéticas regionales relevantes.,Base curada,,Base curada
2021-03-23,Logística global,Bloqueo del Canal de Suez por el buque Ever Given,logística marítima,Presión alcista temporal por riesgo logístico y demoras,3,Evento logístico con impacto sobre cadenas marítimas.,Base curada,,Base curada
2021-10-04,OPEP/Oferta,OPEP+ mantiene aumentos graduales de producción pese a presión de consumidores,oferta,Presión alcista por oferta cautelosa frente a recuperación de demanda,3,Contexto de recuperación pospandemia.,Base curada,,Base curada
2022-02-24,Guerra/Geopolítica,Invasión rusa a Ucrania,guerra/oferta/sanciones,Presión alcista fuerte por riesgo de oferta y sanciones,5,Principal shock geopolítico energético de 2022.,Base curada,,Base curada
2022-03-08,Geopolítica/Sanciones,Estados Unidos anuncia prohibición de importaciones de petróleo ruso,sanciones/oferta,Presión alcista por restricciones a flujos rusos,5,Incrementa incertidumbre de suministro global.,Base curada,,Base curada
2022-06-03,OPEP/Oferta,OPEP+ acuerda elevar producción tras presión internacional,oferta,Presión bajista/moderadora si la producción efectiva aumenta,3,Medida de oferta en contexto de altos precios.,Base curada,,Base curada
2022-10-05,OPEP/Oferta,OPEP+ anuncia recorte de producción de 2 millones bpd,oferta,Presión alcista por menor oferta esperada,5,Evento de oferta relevante durante volatilidad posinvasión.,Base curada,,Base curada
2022-12-05,Geopolítica/Sanciones,Entra en vigor embargo de la UE al crudo ruso transportado por mar y tope de precio del G7,sanciones/logística,Presión alcista o de reacomodo de flujos comerciales,4,Redireccionamiento de comercio petrolero internacional.,Base curada,,Base curada
2023-04-02,OPEP/Oferta,Miembros de OPEP+ anuncian recortes voluntarios adicionales,oferta,Presión alcista por menor oferta esperada,4,Evento de soporte a precios internacionales.,Base curada,,Base curada
2023-06-04,OPEP/Oferta,Arabia Saudita anuncia recorte voluntario adicional de producción,oferta,Presión alcista por restricción de oferta,4,Refuerza estrategia de defensa de precios.,Base curada,,Base curada
2023-10-07,Guerra/Geopolítica,Ataque de Hamas a Israel y escalada de conflicto en Medio Oriente,geopolítica/riesgo,Presión alcista por prima de riesgo regional,4,Riesgo de contagio regional a mercados energéticos.,Base curada,,Base curada
2023-11-19,Logística/Ataques,Incremento de ataques hutíes a embarcaciones en el Mar Rojo,logística marítima,Presión alcista por desvíos, seguros y mayores fletes,4,Disrupción relevante de rutas marítimas energéticas.,Base curada,,Base curada
2024-01-12,Geopolítica/Ataques,Estados Unidos y Reino Unido realizan ataques contra objetivos hutíes en Yemen,geopolítica/logística,Presión alcista por riesgo en rutas del Mar Rojo,4,Profundiza percepción de riesgo logístico regional.,Base curada,,Base curada
2024-03-12,Geopolítica/Ataques,Ataques con drones afectan refinerías rusas,refinación/oferta,Presión alcista en productos refinados por riesgo de menor capacidad,4,Evento asociado a interrupciones de refinación.,Base curada,,Base curada
2024-04-13,Geopolítica/Ataques,Irán lanza ataque directo contra Israel,geopolítica/riesgo,Presión alcista por riesgo de escalada regional,5,Prima de riesgo en Medio Oriente.,Base curada,,Base curada
2024-06-02,OPEP/Oferta,OPEP+ extiende recortes de producción y define retorno gradual de barriles,oferta,Soporte a precios con expectativa de normalización gradual,4,Decisión clave de gestión de oferta.,Base curada,,Base curada
2024-07-08,Clima/Refinación,Huracán Beryl afecta operaciones energéticas en Texas y Golfo de México,clima/refinación,Presión alcista temporal por riesgos operativos,3,Evento climático con posibles efectos logísticos y de refinación.,Base curada,,Base curada
2024-10-01,Geopolítica/Ataques,Escalada de tensiones Irán-Israel con ataques de misiles,geopolítica/riesgo,Presión alcista por riesgo de conflicto regional amplio,4,Evento de prima de riesgo en energía.,Base curada,,Base curada
2025-01-10,Sanciones/Rusia,Nuevas medidas restrictivas sobre actores petroleros rusos elevan incertidumbre de flujos,sanciones/oferta,Presión alcista o de reacomodo comercial,3,Evento contextual de sanciones y comercio de crudo/productos.,Base curada,,Base curada
2025-03-03,OPEP/Oferta,OPEP+ mantiene cautela sobre normalización de recortes de producción,oferta,Soporte a precios si se restringe oferta,3,Evento de política de oferta petrolera.,Base curada,,Base curada
2025-06-13,Geopolítica/Medio Oriente,Tensiones militares en Medio Oriente elevan prima de riesgo energético,geopolítica/riesgo,Presión alcista por riesgo percibido sobre rutas y oferta,4,Registro curado para contextualización; revisar con fuente vigente si se usa en informe.,Base curada,,Base curada
2026-01-01,Nota metodológica,Espacio para incorporar eventos relevantes de 2026 conforme se actualice la base,metodología,Sin impacto asignado; marcador de actualización,1,La base histórica debe actualizarse con eventos verificados de 2026.,Base curada,,Base curada
